Zone,weekday,hour,rides,avg_trip_miles,avg_fare,avg_driver_pay
Kingsbridge Heights,Tuesday,21,256,3.8954765625,16.5047265625,14.652578125
Kingsbridge Heights,Tuesday,22,285,3.923954385964912,16.61659649122807,14.46701754385965
Kingsbridge Heights,Tuesday,23,242,3.710173553719008,15.032396694214876,13.784545454545455
Kingsbridge Heights,Wednesday,0,172,4.09053488372093,15.711918604651162,14.23674418604651
Kingsbridge Heights,Wednesday,1,73,4.098493150684932,16.053561643835618,14.072191780821917
Kingsbridge Heights,Wednesday,2,60,4.330466666666667,16.484333333333336,15.0445
Kingsbridge Heights,Wednesday,3,70,6.396542857142857,23.034857142857145,18.859285714285715
Kingsbridge Heights,Wednesday,4,77,6.710467532467533,24.725454545454543,19.646883116883117
Kingsbridge Heights,Wednesday,5,170,5.979258823529412,22.391058823529413,18.52905882352941
Kingsbridge Heights,Wednesday,6,366,4.806732240437158,21.628469945355192,18.435
Kingsbridge Heights,Wednesday,7,481,3.4787525987525987,24.01193347193347,20.14931392931393
Kingsbridge Heights,Wednesday,8,580,3.397544827586207,21.36887931034483,18.40055172413793
Kingsbridge Heights,Wednesday,9,381,3.865034120734908,20.698188976377953,18.008451443569555
Kingsbridge Heights,Wednesday,10,321,4.5227071651090345,21.5697507788162,18.664922118380062
Kingsbridge Heights,Wednesday,11,309,4.542236245954692,21.179417475728155,18.701423948220064
Kingsbridge Heights,Wednesday,12,373,4.801509383378016,22.470321715817697,19.497506702412867
Kingsbridge Heights,Wednesday,13,362,4.710096685082873,23.032099447513815,19.522265193370167
Kingsbridge Heights,Wednesday,14,380,3.909628947368421,20.966,18.002815789473683
Kingsbridge Heights,Wednesday,15,379,4.485050131926122,24.36007915567282,20.92467018469657
Kingsbridge Heights,Wednesday,16,403,3.826426799007444,22.407270471464017,20.081687344913153
Kingsbridge Heights,Wednesday,17,385,3.368051948051948,20.126285714285714,17.633896103896106
Kingsbridge Heights,Wednesday,18,366,3.494185792349727,18.049617486338796,16.303907103825136
Kingsbridge Heights,Wednesday,19,302,3.718245033112583,16.73817880794702,14.932086092715231
Kingsbridge Heights,Wednesday,20,291,3.5690412371134017,15.732302405498283,13.99955326460481
Kingsbridge Heights,Wednesday,21,277,3.574317689530686,15.227942238267149,13.812202166064981
Kingsbridge Heights,Wednesday,22,253,3.703450592885375,14.920553359683796,13.52897233201581
Kingsbridge Heights,Wednesday,23,254,4.029996062992126,15.796653543307086,14.167007874015749
Kips Bay,Friday,0,586,5.711127986348123,23.732491467576793,18.88933447098976
Kips Bay,Friday,1,335,6.032519402985074,24.76507462686567,19.401223880597016
Kips Bay,Friday,2,241,5.462514522821576,23.28327800829876,18.09875518672199
Kips Bay,Friday,3,201,6.154507462686567,25.739701492537314,19.483233830845773
Kips Bay,Friday,4,232,8.019353448275861,34.131379310344826,24.000172413793102
Kips Bay,Friday,5,289,7.2232249134948106,32.86460207612456,23.166643598615916
Kips Bay,Friday,6,521,5.386579654510556,27.04138195777351,19.471420345489445
Kips Bay,Friday,7,838,4.538026252983293,25.156968973747016,19.203878281622913
Kips Bay,Friday,8,867,4.133875432525952,25.15427912341407,19.6080738177624
Kips Bay,Friday,9,735,4.028767346938775,23.97360544217687,18.59651700680272
Kips Bay,Friday,10,715,4.454138461538461,25.083230769230767,19.44309090909091
Kips Bay,Friday,11,727,5.120427785419532,28.132530949105913,21.855529573590097
Kips Bay,Friday,12,757,5.43256142668428,30.419999999999998,23.404425363276093
Kips Bay,Friday,13,775,5.021743225806452,29.31068387096774,23.002051612903227
Kips Bay,Friday,14,818,4.983066014669927,31.21135696821516,24.5180684596577
Kips Bay,Friday,15,902,5.238863636363637,34.03320399113082,26.176474501108647
Kips Bay,Friday,16,973,4.953415210688592,33.818057553956834,25.60610483042138
Kips Bay,Friday,17,1073,4.5907437092264685,31.737931034482763,23.60906803355079
Kips Bay,Friday,18,1273,3.7554650432050276,27.436480754124116,19.967517674783977
Kips Bay,Friday,19,1624,3.68528078817734,25.624550492610837,19.45432881773399
Kips Bay,Friday,20,1413,3.8652384996461433,23.73383581033263,18.488188251946216
Kips Bay,Friday,21,1278,3.974147887323944,22.01267605633803,17.37323943661972
Kips Bay,Friday,22,1255,4.074599999999999,22.47758565737052,17.662517928286853
